Companies,Nominal,Montant 2019,Variation2019,Montant 2020,Variation2020,Montant 2021,Variation2021,Montant 2022,Variation2022,DL 2019,DL 2020,DL 2021,DL 2022,Average DL,Growth Rate 2020,Growth Rate 2021,Growth Rate 2022
Banque Internationale Arabe de Tunisie -BIAT- ,10.0,5.0,0.17647058823529413,5.0,0.06666666666666674,5.0,0.06250000000000006,5.2,0.040000000000000036,0.5,0.5,0.5,0.52,0.505,0.0,0.0,0.040000000000000036
Banque Nationale Agricole -BNA-,5.0,0.12,0.0,0.11499999999999999,0.06666666666666674,0.5,0.06250000000000006,0.8,0.6000000000000001,0.024,0.023,0.1,0.16,0.07675000000000001,-0.041666666666666706,3.347826086956522,0.6000000000000001
BEST LEASE,1.0,0.12,0.0,0.11499999999999999,0.06666666666666674,0.11,0.06250000000000006,0.116,0.05454545454545459,0.12,0.11499999999999999,0.11,0.116,0.11524999999999999,-0.041666666666666706,-0.04347826086956514,0.05454545454545459
CEREALIS,1.0,0.15,0.15384615384615377,0.16,0.06666666666666674,0.17,0.06250000000000006,0.215,0.26470588235294107,0.15,0.16,0.17,0.215,0.17375,0.06666666666666674,0.06250000000000006,0.26470588235294107
Cie Intenationale de Leasing - CIL-,5.0,1.0,0.11111111111111108,1.0,-0.3684210526315789,1.0,0.3833333333333333,1.0,0.5060240963855422,0.2,0.2,0.2,0.2,0.2,0.0,0.0,0.0
CITY CARS,1.0,0.95,0.03260869565217382,0.6,-0.3684210526315789,0.83,0.3833333333333333,1.25,0.5060240963855422,0.95,0.6,0.83,1.25,0.9075,-0.3684210526315789,0.3833333333333333,0.5060240963855422
Compagnie d'Assurances et de Réassurances  -ASTREE-,5.0,1.8,0.12499999999999997,6.0,2.3333333333333335,2.8,-0.5333333333333333,2.8,0.0,0.36,1.2,0.5599999999999999,0.5599999999999999,0.67,2.3333333333333335,-0.5333333333333333,0.0
ENNAKL Automobiles,1.0,0.58,-0.10769230769230778,0.25,-0.5689655172413792,0.65,1.6,0.65,0.0,0.58,0.25,0.65,0.65,0.5325,-0.5689655172413792,1.6,0.0
EURO CYCLES,1.0,1.2,-0.20000000000000004,1.09,-0.09166666666666656,1.515,0.3899082568807338,1.67,0.10231023102310234,1.2,1.09,1.515,1.67,1.36875,-0.09166666666666656,0.3899082568807338,0.10231023102310234
HANNIBAL LEASE,5.0,0.3,-0.4,0.26666666666666666,0.542857142857143,0.23333333333333334,-0.8125,0.2,1.4666666666666668,0.06,0.05333333333333333,0.04666666666666667,0.04,0.05,-0.11111111111111109,-0.12499999999999997,-0.14285714285714282
HEXABYTE,1.0,0.35,0.0,0.54,0.542857142857143,0.54,-0.8125,0.54,1.4666666666666668,0.35,0.54,0.54,0.54,0.49250000000000005,0.542857142857143,0.0,0.0
Industries Chimiques du Fluor -ICF-,10.0,9.0,1.25,8.0,-0.1111111111111111,1.5,-0.8125,3.7,1.4666666666666668,0.9,0.8,0.15,0.37,0.555,-0.1111111111111111,-0.8125,1.4666666666666668
Land'or ,1.0,0.6,-0.4285714285714285,0.18,-0.7,0.2,0.11111111111111122,0.5,1.4999999999999998,0.6,0.18,0.2,0.5,0.37,-0.7,0.11111111111111122,1.4999999999999998
Magasin Général,1.0,0.4,-0.4285714285714285,0.4,-1.0,0.4,0.43999999999999995,0.4,1.0,0.4,0.4,0.4,0.4,0.4,0.0,0.0,0.0
Manufacture de Panneaux Bois du Sud - MPBS -,2.0,0.2,0.11111111111111122,0.15000000000000002,-0.5833333333333334,0.1,0.43999999999999995,0.2,1.0,0.1,0.07500000000000001,0.05,0.1,0.08125000000000002,-0.24999999999999994,-0.33333333333333337,1.0
NEW BODY LINE ,1.0,0.6,0.4999999999999999,0.25,-0.5833333333333334,0.36,0.43999999999999995,0.5,0.38888888888888895,0.6,0.25,0.36,0.5,0.4275,-0.5833333333333334,0.43999999999999995,0.38888888888888895
ONE TECH HOLDING,1.0,0.33,0.10000000000000009,0.25,-0.24242424242424246,0.25,0.0,0.23,-0.07999999999999996,0.33,0.25,0.25,0.23,0.265,-0.24242424242424246,0.0,-0.07999999999999996
OFFICE PLAST,1.0,0.075,0.3636363636363636,0.03,-0.6,0.02,-0.3333333333333333,0.02,-0.025000000000000022,0.075,0.03,0.02,0.02,0.03625,-0.6,-0.3333333333333333,0.0
Placements de Tunisie - SICAF,10.0,2.2,0.10000000000000009,2.2,0.0,4.0,0.818181818181818,3.9,-0.025000000000000022,0.22000000000000003,0.22000000000000003,0.4,0.39,0.3075,0.0,0.818181818181818,-0.025000000000000022
POULINA GROUP HOLDING,1.0,0.335,0.0,0.3,-0.1044776119402986,0.26,-0.13333333333333328,0.3,0.15384615384615377,0.335,0.3,0.26,0.3,0.29875,-0.1044776119402986,-0.13333333333333328,0.15384615384615377
SIAME ,1.0,0.15,0.4999999999999999,0.12,-0.2,0.12,0.0,0.18,0.5,0.15,0.12,0.12,0.18,0.14250000000000002,-0.2,0.0,0.5
Société d'Articles Hygiéniques SAH -,1.0,0.65,0.0,0.15,0.0,0.23,0.5333333333333334,0.205,-0.10869565217391314,0.65,0.15,0.23,0.205,0.30875,-0.7692307692307692,0.5333333333333334,-0.10869565217391314
Société de Fabrication des Boissons de Tunisie -SFBT- ,1.0,0.65,0.0,0.65,0.0,0.715,0.09999999999999991,0.715,0.0,0.65,0.65,0.715,0.715,0.6825,0.0,0.09999999999999991,0.0
Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL -,5.0,0.95,0.1874999999999999,1.05,0.10526315789473695,1.05,0.0,1.1,0.04761904761904766,0.19,0.21000000000000002,0.21000000000000002,0.22000000000000003,0.20750000000000002,0.10526315789473695,0.0,0.04761904761904766
Société Délice Holding,10.0,0.41,0.0,0.333,-0.1878048780487804,0.37,0.11111111111111104,0.37,0.0,0.040999999999999995,0.0333,0.037,0.037,0.037075000000000004,-0.1878048780487804,0.11111111111111104,0.0
Société ESSOUKNA ,1.0,0.07,-0.7083333333333333,0.035,-0.5,0.035,-0.25654450261780104,0.035,0.2852112676056338,0.07,0.035,0.035,0.035,0.043750000000000004,-0.5,0.0,0.0
Société l'Accumlateur Tunisien ASSAD ,1.0,0.35,0.0,0.25,-0.28571428571428564,0.25,-0.25654450261780104,0.25,0.2852112676056338,0.35,0.25,0.25,0.25,0.275,-0.28571428571428564,0.0,0.0
Société Tunisienne d'Assurances et de Réassurances - STAR-,10.0,3.075,1.5204918032786887,3.82,0.2422764227642275,2.84,-0.25654450261780104,3.65,0.2852112676056338,0.3075,0.382,0.284,0.365,0.334625,0.2422764227642275,-0.25654450261780104,0.2852112676056338
Société Tunisienne de Réassurance -TUNIS RE -,5.0,0.55,0.10000000000000009,0.3975,-0.5,0.245,1.2666666666666668,0.35,0.4285714285714285,0.11000000000000001,0.0795,0.049,0.06999999999999999,0.077125,-0.2772727272727273,-0.3836477987421384,0.4285714285714285
Société Tunisienne de Verreries - SOTUVER -,1.0,0.3,0.15384615384615377,0.15,-0.5,0.34,1.2666666666666668,0.4,0.1764705882352941,0.3,0.15,0.34,0.4,0.2975,-0.5,1.2666666666666668,0.1764705882352941
Société Tunisienne d'Entreprises de Télécommunications - SOTETEL -,5.0,0.1,0.09999999999999995,0.1,0.2727272727272728,0.1,0.07142857142857129,0.1,1.6333333333333335,0.02,0.02,0.02,0.02,0.02,0.0,0.0,0.0
Société Tunisienne des Marchés de Gros - SOTUMAG -,1.0,0.11,0.09999999999999995,0.14,0.2727272727272728,0.15,0.07142857142857129,0.395,1.6333333333333335,0.11,0.14,0.15,0.395,0.19875,0.2727272727272728,0.07142857142857129,1.6333333333333335
Société Tunisienne Industrielle du Papier et du Carton - SOTIPAPIER -,1.0,0.33,0.3469387755102042,0.465,0.4090909090909091,0.425,-0.08602150537634416,0.47,0.10588235294117644,0.33,0.465,0.425,0.47,0.4225,0.4090909090909091,-0.08602150537634416,0.10588235294117644
Sté de Place. et de Dévelop.Ind. et Touris. SICAF - SPDIT -,1.0,0.6,0.09090909090909079,0.6,0.0,0.6,0.0,0.6,0.0,0.6,0.6,0.6,0.6,0.6,0.0,0.0,0.0
Telnet holding ,1.0,0.7,0.3999999999999999,0.2,-0.7142857142857143,0.25,0.24999999999999994,0.5,1.0,0.7,0.2,0.25,0.5,0.4125,-0.7142857142857143,0.24999999999999994,1.0
Tuninvest- SICAR ,1.0,0.5,0.0,0.5,0.0,1.5,2.0,1.5,0.38888888888888895,0.5,0.5,1.5,1.5,1.0,0.0,2.0,0.0
Tunisie Leasing et Factoring,5.0,0.65,-0.35,0.505,-0.625,0.36,0.3333333333333335,0.5,0.38888888888888895,0.13,0.101,0.072,0.1,0.10075,-0.2230769230769231,-0.28712871287128716,0.38888888888888895
Tunisie Profilés Aluminium -TPR-,1.0,0.24,0.04347826086956513,0.27,-0.625,0.3,0.3333333333333335,0.3,0.0,0.24,0.27,0.3,0.3,0.2775,0.1250000000000001,0.111111111111111,0.0
TUNISIE VALEURS,5.0,1.8,-0.13461538461538464,0.675,-0.625,0.675,0.3333333333333335,0.675,-0.25,0.36,0.135,0.135,0.135,0.19125,-0.625,0.0,0.0
Union Bancaire pour le Commerce et l'Industrie -UBCI -,5.0,1.2,0.19999999999999996,1.1,-1.0,1.0,0.3333333333333335,0.75,-0.25,0.24,0.22000000000000003,0.2,0.15,0.2025,-0.08333333333333323,-0.09090909090909098,-0.25
Union Internationale de Banque -UIB- ,5.0,0.7,0.07692307692307682,0.7,-1.0,0.7,0.3333333333333335,0.7,0.0,0.13999999999999999,0.13999999999999999,0.13999999999999999,0.13999999999999999,0.13999999999999999,0.0,0.0,0.0
Unité de Fabrication de Médicaments «UNIMED»,1.0,0.345,0.4680851063829787,0.4065,-1.0,0.468,0.3333333333333335,0.406,-0.13247863247863248,0.345,0.4065,0.468,0.406,0.40637500000000004,0.1782608695652174,0.1512915129151293,-0.13247863247863248
Société Atelier du Meuble Interieur - SAM -,1.0,0.3,0.15384615384615377,0.15,-0.5,0.2,0.3333333333333335,0.215,0.07499999999999993,0.3,0.15,0.2,0.215,0.21624999999999997,-0.5,0.3333333333333335,0.07499999999999993
ASSURANCES MAGHREBIA ,,0.3,0.15384615384615377,0.15,-0.5,1.87,-0.20179640718562872,2.21,0.18181818181818174,,,,,,-0.5,11.466666666666669,0.18181818181818174
Compagnie Intenationale de Leasing - CIL-,,0.3,0.15384615384615377,0.15,-0.5,1.795,-0.20179640718562872,1.9,0.6879219804951239,,,,,,-0.5,10.966666666666667,0.05849582172701949
SMART TUNISIE ,,0.3,0.15384615384615377,0.15,-0.5,1.333,-0.20179640718562872,2.25,0.6879219804951239,,,,,,-0.5,7.886666666666668,0.6879219804951239
ASSURANCES MAGHREBIA VIE,,0.3,0.15384615384615377,0.15,-0.5,1.333,-0.20179640718562872,1.89,0.3695652173913044,,,,,,-0.5,7.886666666666668,0.41785446361590395
STA,,0.3,0.15384615384615377,0.15,-0.5,1.333,-0.20179640718562872,2.0,0.0,,,,,,-0.5,7.886666666666668,0.5003750937734434
