Company,Year,Dividend,Variation,Nominal,Liquidity
Tunisie Leasing et Factoring,2021,0.36,0.3333333333333335,10.0,0.036
Tunisie Profilés Aluminium -TPR-,2021,0.3,0.3333333333333335,10.0,0.03
UADH,2021,1.0,0.3333333333333335,10.0,0.1
Union Bancaire pour le Commerce et l'Industrie -UBCI -,2021,1.0,0.3333333333333335,10.0,0.1
Union Internationale de Banque -UIB- ,2021,0.7,0.3333333333333335,10.0,0.06999999999999999
Unité de Fabrication de Médicaments «UNIMED»,2021,0.468,0.3333333333333335,10.0,0.0468
SANIMED,2021,0.2,0.3333333333333335,10.0,0.02
Société Atelier du Meuble Interieur - SAM -,2021,0.2,0.3333333333333335,10.0,0.02
SMART TUNISIE ,2021,1.333,-0.20179640718562872,10.0,0.1333
ADWYA,2022,0.08,-0.20000000000000004,10.0,0.008
AE-TECH,2022,5.5,0.2222222222222222,10.0,0.55
Air Liquide Tunisie ,2022,5.5,0.2222222222222222,10.0,0.55
ALKIMIA,2022,1.45,-0.3255813953488372,10.0,0.145
Amen Bank ,2022,1.45,-0.3255813953488372,10.0,0.145
AMS,2022,0.2,1.6666666666666667,10.0,0.02
Arab Tunisian Bank -ATB-,2022,0.2,1.6666666666666667,10.0,0.02
Arab Tunisian Lease ,2022,0.2,1.6666666666666667,10.0,0.02
ARTES,2022,0.8,0.0,10.0,0.08
ASSURANCES MAGHREBIA ,2022,2.21,0.18181818181818174,10.0,0.221
ASSURANCES MAGHREBIA VIE,2022,1.89,0.3695652173913044,10.0,0.189
Attijari Bank ,2022,3.15,0.16666666666666655,10.0,0.315
ATTIJARI LEASING,2022,1.2,1.4,10.0,0.12
BH Bank,2022,0.95,0.5833333333333334,10.0,0.095
BH Assurance,2022,1.1,0.10000000000000009,10.0,0.11000000000000001
Banque de Tunisie,2022,0.28,-0.19999999999999987,10.0,0.028000000000000004
Banque de Tunisie et des Emirats  -BTE-,2022,5.2,0.040000000000000036,10.0,0.52
Banque Internationale Arabe de Tunisie -BIAT- ,2022,5.2,0.040000000000000036,10.0,0.52
Banque Nationale Agricole -BNA-,2022,0.8,0.6000000000000001,10.0,0.08
BEST LEASE,2022,0.116,0.05454545454545459,10.0,0.011600000000000001
Carthage Cement,2022,0.215,0.26470588235294107,10.0,0.0215
CELLCOM,2022,0.215,0.26470588235294107,10.0,0.0215
CEREALIS,2022,0.215,0.26470588235294107,10.0,0.0215
Compagnie Intenationale de Leasing - CIL-,2022,1.9,0.5060240963855422,10.0,0.19
CIMENTS DE BIZERTE,2022,1.25,0.5060240963855422,10.0,0.125
CITY CARS,2022,1.25,0.5060240963855422,10.0,0.125
Compagnie d'Assurances et de Réassurances  -ASTREE-,2022,2.8,0.0,10.0,0.27999999999999997
WIFACK INTERNATIONAL BANK,2022,0.65,0.0,10.0,0.065
ELECTROSTAR,2022,0.65,0.0,10.0,0.065
ENNAKL Automobiles,2022,0.65,0.0,10.0,0.065
EURO CYCLES,2022,1.67,0.10231023102310234,10.0,0.16699999999999998
HANNIBAL LEASE,2022,0.2,1.4666666666666668,10.0,0.02
Industries Chimiques du Fluor -ICF-,2022,3.7,1.4666666666666668,10.0,0.37
Land'or ,2022,0.5,1.4999999999999998,10.0,0.05
Magasin Général,2022,0.2,1.0,10.0,0.02
Maghreb International Publicité -MIP -,2022,0.2,1.0,10.0,0.02
Manufacture de Panneaux Bois du Sud - MPBS -,2022,0.2,1.0,10.0,0.02
BH LEASING,2022,0.5,0.38888888888888895,10.0,0.05
NEW BODY LINE ,2022,0.5,0.38888888888888895,10.0,0.05
ONE TECH HOLDING,2022,0.23,-0.07999999999999996,10.0,0.023
OFFICE PLAST,2022,3.9,-0.025000000000000022,10.0,0.39
Placements de Tunisie - SICAF,2022,3.9,-0.025000000000000022,10.0,0.39
POULINA GROUP HOLDING,2022,0.3,0.15384615384615377,10.0,0.03
SERVICOM,2022,0.18,0.5,10.0,0.018
SIAME ,2022,0.18,0.5,10.0,0.018
SIPHAT,2022,0.205,-0.10869565217391314,10.0,0.020499999999999997
SITS ,2022,0.205,-0.10869565217391314,10.0,0.020499999999999997
Société d'Articles Hygiéniques SAH -,2022,0.205,-0.10869565217391314,10.0,0.020499999999999997
Société de Fabrication des Boissons de Tunisie -SFBT- ,2022,0.715,0.0,10.0,0.0715
Société de Production Agricole Teboulba - SOPAT -,2022,1.1,0.04761904761904766,10.0,0.11000000000000001
Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL -,2022,1.1,0.04761904761904766,10.0,0.11000000000000001
Société Délice Holding,2022,0.37,0.0,10.0,0.037
Société ESSOUKNA ,2022,3.65,0.2852112676056338,10.0,0.365
Société Générale Industrielle de Filtration -GIF- ,2022,3.65,0.2852112676056338,10.0,0.365
Société Immobilière et de Participation -SIMPAR-,2022,3.65,0.2852112676056338,10.0,0.365
Société l'Accumlateur Tunisien ASSAD ,2022,3.65,0.2852112676056338,10.0,0.365
Société Moderne de Céramique -SOMOCER-,2022,3.65,0.2852112676056338,10.0,0.365
Société Nouvelle Maison de la Ville de Tunis  -MONOPRIX-,2022,3.65,0.2852112676056338,10.0,0.365
Société Tunisienne d'Assurances et de Réassurances - STAR-,2022,3.65,0.2852112676056338,10.0,0.365
Société Tunisienne de Banque -STB-,2022,0.35,0.4285714285714285,10.0,0.034999999999999996
Société Tunisienne de l'Air -TUNISAIR -,2022,0.35,0.4285714285714285,10.0,0.034999999999999996
Société Tunisienne de Réassurance -TUNIS RE -,2022,0.35,0.4285714285714285,10.0,0.034999999999999996
Société Tunisienne de Verreries - SOTUVER -,2022,0.4,0.1764705882352941,10.0,0.04
Société Tunisienne d'Entreprises de Télécommunications - SOTETEL -,2022,0.395,1.6333333333333335,10.0,0.0395
Société Tunisienne des Marchés de Gros - SOTUMAG -,2022,0.395,1.6333333333333335,10.0,0.0395
Société Tunisienne Industrielle du Papier et du Carton - SOTIPAPIER -,2022,0.47,0.10588235294117644,10.0,0.047
Société Tunisiennes des Induustries Pneumatiques -STIP -,2022,0.6,0.0,10.0,0.06
SOTEMAIL,2022,0.6,0.0,10.0,0.06
Sté de Place. et de Dévelop.Ind. et Touris. SICAF - SPDIT -,2022,0.6,0.0,10.0,0.06
Tawasol Group Holding,2022,0.5,1.0,10.0,0.05
Telnet holding ,2022,0.5,1.0,10.0,0.05
Tuninvest- SICAR ,2022,0.5,0.38888888888888895,10.0,0.05
Tunisie Leasing et Factoring,2022,0.5,0.38888888888888895,10.0,0.05
Tunisie Profilés Aluminium -TPR-,2022,0.3,0.0,10.0,0.03
UADH,2022,0.75,-0.25,10.0,0.075
Union Bancaire pour le Commerce et l'Industrie -UBCI -,2022,0.75,-0.25,10.0,0.075
Union Internationale de Banque -UIB- ,2022,0.7,0.0,10.0,0.06999999999999999
Unité de Fabrication de Médicaments «UNIMED»,2022,0.406,-0.13247863247863248,10.0,0.040600000000000004
SANIMED,2022,0.215,0.07499999999999993,10.0,0.0215
Société Atelier du Meuble Interieur - SAM -,2022,0.215,0.07499999999999993,10.0,0.0215
SMART TUNISIE ,2022,2.25,0.6879219804951239,10.0,0.225
STA,2022,2.0,0.0,10.0,0.2
