Companies,Nominal,Montant 2016,Variation2016,Montant 2017,Variation2017,Montant 2018,Variation2018,Montant 2019,Variation2019,Montant 2020,Variation2020,Montant 2021,Variation2021,Montant 2022,Variation2022,DL 2016,DL 2017,DL 2018,DL 2019,DL 2020,DL 2021,DL 2022,Average DL,Growth Rate 2017,Growth Rate 2018,Growth Rate 2019,Growth Rate 2020,Growth Rate 2021,Growth Rate 2022
Société d'Assurances SALIM,5.0,1.0,0.052631578947368474,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.09999999999999991,1.0,0.0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.19999999999999998,0.0,0.0,0.0,0.0,0.0,0.0
Société de Fabrication des Boissons de Tunisie -SFBT- ,1.0,0.65,0,0.65,0.0,0.65,0.0,0.65,0.0,0.65,0.0,0.715,0.09999999999999991,0.715,0.0,0.65,0.65,0.65,0.65,0.65,0.715,0.715,0.6685714285714285,0.0,0.0,0.0,0.0,0.09999999999999991,0.0
Société de Transport des Hydrocarbures par Pipelines - SOTRAPIL -,5.0,0.6,0.19999999999999996,0.65,0.08333333333333341,0.8,0.23076923076923078,0.95,0.1874999999999999,1.05,0.10526315789473695,1.05,0.0,1.1,0.04761904761904766,0.12,0.13,0.16,0.19,0.21000000000000002,0.21000000000000002,0.22000000000000003,0.17714285714285713,0.08333333333333341,0.23076923076923078,0.1874999999999999,0.10526315789473695,0.0,0.04761904761904766
Société Délice Holding,10.0,0.45,-0.296875,0.42,-0.06666666666666672,0.41,-0.023809523809523832,0.41,0.0,0.333,-0.1878048780487804,0.37,0.11111111111111104,0.37,0.0,0.045,0.041999999999999996,0.040999999999999995,0.040999999999999995,0.0333,0.037,0.037,0.03947142857142857,-0.06666666666666672,-0.023809523809523832,0.0,-0.1878048780487804,0.11111111111111104,0.0
Société ESSOUKNA ,1.0,0.24,0,0.24,0.0,0.24,0.0,0.07,-0.7083333333333333,0.035,-0.5,0.035,-0.25654450261780104,0.035,0.2852112676056338,0.24,0.24,0.24,0.07,0.035,0.035,0.035,0.12785714285714286,0.0,0.0,-0.7083333333333333,-0.5,0.0,0.0
Société Immobilière et de Participation -SIMPAR-,5.0,1.5,0,1.5,0.0,1.25,-0.16666666666666666,1.25,0.0,1.25,-0.28571428571428564,1.25,-0.25654450261780104,1.25,0.2852112676056338,0.3,0.3,0.25,0.25,0.25,0.25,0.25,0.2642857142857143,0.0,-0.16666666666666666,0.0,0.0,0.0,0.0
Société l'Accumlateur Tunisien ASSAD ,1.0,0.4, -,0.06,-0.7065217391304347,0.35,4.833333333333333,0.35,0.0,0.25,-0.28571428571428564,0.25,-0.25654450261780104,0.25,0.2852112676056338,0.4,0.06,0.35,0.35,0.25,0.25,0.25,0.27285714285714285,-0.85,4.833333333333333,0.0,-0.28571428571428564,0.0,0.0
Société Moderne de Céramique -SOMOCER-,1.0,0.4, -,0.30000000000000004,-0.7065217391304347,0.075,-0.5481481481481482,0.075,1.5204918032786887,0.075,0.2422764227642275,0.075,-0.25654450261780104,0.075,0.2852112676056338,0.4,0.30000000000000004,0.075,0.075,0.075,0.075,0.075,0.15357142857142855,-0.24999999999999994,-0.75,0.0,0.0,0.0,0.0
Société Nouvelle Maison de la Ville de Tunis  -MONOPRIX-,2.0,0.4, -,0.30000000000000004,-0.7065217391304347,0.2,-0.5481481481481482,0.2,1.5204918032786887,0.2,0.2422764227642275,0.2,-0.25654450261780104,0.2,0.2852112676056338,0.2,0.15000000000000002,0.1,0.1,0.1,0.1,0.1,0.12142857142857143,-0.24999999999999994,-0.33333333333333337,0.0,0.0,0.0,0.0
Société Tunisienne d'Assurances et de Réassurances - STAR-,10.0,9.2,1.7058823529411762,2.7,-0.7065217391304347,1.22,-0.5481481481481482,3.075,1.5204918032786887,3.82,0.2422764227642275,2.84,-0.25654450261780104,3.65,0.2852112676056338,0.9199999999999999,0.27,0.122,0.3075,0.382,0.284,0.365,0.37864285714285717,-0.7065217391304347,-0.5481481481481482,1.5204918032786887,0.2422764227642275,-0.25654450261780104,0.2852112676056338
